LocationID;Zone;Zone_Lat;Zone_Lon;borough_ID;Borough;borough_lat;borough_lon;borough_boundingbox
142;Lincoln Square East;40.773828;-73.98447220000001;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
143;Lincoln Square West;40.773828;-73.990001;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
144;Little Italy/NoLiTa;40.719;-73.997;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
145;Long Island City/Hunters Point;40.76;-73.984;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
146;Long Island City/Queens Plaza;40.748915000000004;-73.937387;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
147;Longwood;40.81509904545822;-73.8957882009446;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
148;Lower East Side;40.71780674892765;-73.98089031999291;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
149;Madison;40.60937770113766;-73.94841515328893;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
150;Manhattan Beach;40.57791350308657;-73.94353722891886;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
151;Manhattan Valley;40.797307041702865;-73.96428617740655;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
152;Manhattanville;40.81693442949779;-73.9573853935188;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
153;Marble Hill;40.87655077879964;-73.91065965862981;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
154;Marine Park/Floyd Bennett Field;40.591;73.8906;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
155;Marine Park/Mill Basin;40.6044;-73.9024;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
156;Mariners Harbor;40.633497466;-74.152999388;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
157;Maspeth;40.725427374093606;-73.8962171362686;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
158;Meatpacking/West Village West;40.740278;-74.00694399999999;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
159;Melrose South;40.825;-73.91;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
160;Middle Village;40.71641451115819;-73.88114319200605;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
161;Midtown Center;40.754932000000004;-73.984016;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
162;Midtown East;40.754932000000004;-73.980016;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
163;Midtown North;40.759932;-73.984016;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
164;Midtown South;40.7485096643122;-73.98871313285247;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
165;Midwood;40.62559589869843;-73.95759523489838;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
166;Morningside Heights;40.807999738165826;-73.96389627905332;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
167;Morrisania/Melrose;40.832;-73.904;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
168;Mott Haven/Port Morris;40.802;-73.91;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
169;Mount Hope;40.84884160724665;-73.90829930881988;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
170;Murray Hill;40.748303077252174;-73.97833207924127;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
